38.0  0.0795774683356 0.00377189740539 0.00971108302474 0.0861374884844
39.0  0.0795774683356 0.00358804804273 0.00966532807797 0.0821756497025
40.0  0.0795774683356 0.0034178274218 0.00962795969099 0.0785043537617
41.0  0.0795774683356 0.00325992237777 0.00959835387766 0.0750945806503
42.0  0.0795774683356 0.00311317481101 0.00957596581429 0.0719209015369
43.0  0.0795774683356 0.00297656073235 0.00956031866372 0.0689608976245
44.0  0.0795774683356 0.00284916930832 0.00955099333078 0.066194742918
45.0  0.0795774683356 0.00273019098677 0.0095476238057 0.0636049211025
46.0  0.0795774683356 0.00261890329421 0.0095498887822 0.0611758567393
47.0  0.0795774683356 0.00251465803012 0.00955750700086 0.0588936917484
48.0  0.0795774683356 0.00241687591188 0.00957023072988 0.0567460879683
49.0  0.0795774683356 0.002325035166 0.00958784576505 0.0547220110893
50.0  0.0795774683356 0.00223866617307 0.00961016304791 0.0528115667403
51.0  0.0795774683356 0.00215734378435 0.00963701866567 0.0510058961809
52.0  0.0795774683356 0.00208068476059 0.00966827291995 0.0492970384657
53.0  0.0795774683356 0.00200834032148 0.00970380567014 0.0476778075099
54.0  0.0795774683356 0.00193999451585 0.00974351167679 0.0461417324841
55.0  0.0795774683356 0.00187535991427 0.00978730712086 0.0446829758584
56.0  0.0795774683356 0.00181417388376 0.00983511842787 0.0432962402701
57.0  0.0795774683356 0.00175619730726 0.0098868906498 0.0419767387211
58.0  0.0795774683356 0.0017012108583 0.00994257908314 0.0407201163471
59.0  0.0795774683356 0.0016490140697 0.010002149269 0.0395224243402
60.0  0.0795774683356 0.00159942300525 0.0100655825809 0.0383800566196
61.0  0.0795774683356 0.00155226874631 0.0101328659803 0.0372897461057
62.0  0.0795774683356 0.0015073956456 0.0102039994672 0.0362484976649
63.0  0.0795774683356 0.00146466039587 0.0102789914235 0.035253573209
64.0  0.0795774683356 0.00142393051647 0.0103578595445 0.0343024767935
65.0  0.0795774683356 0.00138508423697 0.0104406280443 0.0333929173648
66.0  0.0795774683356 0.00134800875094 0.010527334176 0.0325227938592
67.0  0.0795774683356 0.00131259951741 0.0106180179864 0.0316901803017
68.0  0.0795774683356 0.00127875956241 0.0107127316296 0.0308933053166
69.0  0.0795774683356 0.00124639889691 0.0108115309849 0.0301305279136
70.0  0.0795774683356 0.0012154339347 0.0109144849703 0.0294003486633
71.0  0.0795774683356 0.00118578691036 0.0110216643661 0.0287013761699
72.0  0.0795774683356 0.00115738576278 0.0111331529915 0.0280323289335
73.0  0.0795774683356 0.00113016285468 0.0112490393221 0.0273920167238
74.0  0.0795774683356 0.00110405567102 0.0113694164902 0.0267793424428
75.0  0.0795774683356 0.00107900495641 0.0114943934605 0.0261932741851
76.0  0.0795774683356 0.00105495599564 0.0116240819916 0.0256328638643
77.0  0.0795774683356 0.00103185768239 0.0117586031556 0.0250972229987
78.0  0.0795774683356 0.00100966182072 0.011898085475 0.0245855282992
79.0  0.0795774683356 0.000988323474303 0.0120426667854 0.0240970049053
80.0  0.0795774683356 0.000967800267972 0.0121924970299 0.0236309226602
81.0  0.0795774683356 0.000948052620515 0.0123477298766 0.0231866072863
82.0  0.0795774683356 0.000929043279029 0.0125085301697 0.0227634124458
83.0  0.0795774683356 0.000910737318918 0.0126750767231 0.0223607402295
84.0  0.0795774683356 0.000893101794645 0.0128475548699 0.0219780169427
85.0  0.0795774683356 0.000876105797943 0.013026160188 0.0216147042811
86.0  0.0795774683356 0.00085971999215 0.0132111022249 0.0212702825665
87.0  0.0795774683356 0.00084391690325 0.0134026026353 0.020944269374
88.0  0.0795774683356 0.000828670687042 0.0136008923873 0.0206361934543
89.0  0.0795774683356 0.000813956721686 0.0138062192127 0.0203456096351
90.0  0.0795774683356 0.000799751898739 0.0140188410878 0.0200720895082
91.0  0.0795774683356 0.000786034564953 0.0142390308902 0.0198152195662
92.0  0.0795774683356 0.000772783590946 0.014467081055 0.0195745993406
93.0  0.0795774683356 0.000759979709983 0.0147032979876 0.0193498451263
94.0  0.0795774683356 0.000747604295611 0.0149480029941 0.0191405788064
95.0  0.0795774683356 0.000735639943741 0.0152015369385 0.0189464408904
96.0  0.0795774683356 0.000724069832359 0.0154642593116 0.0187670718879
97.0  0.0795774683356 0.00071287836181 0.0157365482301 0.0186021272093
